"AC005042.2","AC012078.2","AC013437.2","AC093166.2","APLF","ATP2B2.IT2","C8orf49","CAP2P1","CNN3","COPG1","CTB.127C13.1","CTB.147C22.6","CTC.203F4.2","CTD.2021H9.3","CTD.2342I9.1","DPY19L2P2","EXOGP1","FBXL3","FRMD7","HNRNPA1P51","LINC00443","LINC01170","MTHFD2P3","MYC","OR2T1","PPIAP3","RN7SKP195","RN7SKP67","RP11.126O1.5","RP11.227G15.8","RP11.264M12.2","RP11.321E2.3","RP11.344L13.1","RP11.462P6.1","RP11.4B16.1","RP11.570K4.1","RP3.410C9.2","RP6.60B16.1","RPL21P111","SETP20","SPP2","UGT1A12P","UPK1B","WDR13","WIPI1","XKR5","ZKSCAN7P1","ZNF221","ZNF295.AS1","y","ID"
0,0,0,0,10,0,2,2,3,2,3,0,2,0,0,2,2,18,1,0,3,0,1,3,5,0,0,0,0,1,0,0,0,1,3,2,0,0,0,0,1,0,3,27,32,1,1,1,0,0,"CLD.01"
0,0,1,1,0,1,0,0,5,11,2,0,2,0,0,1,0,20,0,0,1,0,0,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,10,15,2,2,2,1,0,"CLD.017"
1,0,1,0,2,1,1,0,2,10,1,1,2,0,1,1,0,24,0,1,0,0,0,5,0,0,1,0,1,2,0,0,2,2,0,1,0,0,0,2,0,0,0,8,16,0,0,4,1,0,"CLD.019"
0,0,0,0,5,0,3,2,3,13,2,0,1,0,0,2,1,25,1,0,1,1,1,4,1,2,0,0,0,1,1,0,0,1,2,1,0,0,1,0,1,0,1,17,12,1,0,1,1,0,"CLD.02"
0,0,0,1,1,0,1,2,0,34,1,1,0,0,0,0,1,28,0,1,0,0,0,4,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,0,0,1,1,15,25,0,0,2,0,0,"CLD.022"
1,0,0,1,2,0,0,1,4,11,1,1,0,0,0,4,1,17,3,0,0,1,0,3,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,6,15,1,1,6,0,0,"CLD.023"
1,0,0,1,0,0,2,1,10,6,3,1,1,0,0,1,0,27,0,1,2,0,1,8,0,0,0,0,1,5,1,0,0,2,0,1,0,1,0,1,1,0,2,15,15,1,0,1,1,0,"CLD.025"
2,0,1,1,0,0,1,1,2,4,1,0,0,0,1,0,1,20,2,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,2,0,1,0,1,0,1,2,10,11,0,0,4,0,0,"CLD.026"
1,0,1,0,3,1,2,0,3,5,0,0,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,2,0,2,1,0,0,3,0,0,1,2,0,0,2,9,3,0,0,1,0,0,"CLD.027"
1,0,0,0,2,1,0,1,0,8,0,0,0,0,0,0,0,27,0,2,1,0,0,2,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,9,16,0,1,1,0,0,"CLD.028"
0,0,0,1,3,0,1,0,4,7,2,0,2,1,0,3,0,23,1,2,1,1,0,2,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,1,1,0,0,11,7,1,0,1,2,0,"CLD.029"
2,0,0,0,4,0,2,1,2,11,0,0,2,0,0,2,0,20,2,1,0,0,0,2,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,2,9,0,2,0,4,0,"CLD.031"
3,1,2,1,0,0,1,0,2,20,0,0,0,0,0,2,0,53,2,0,0,1,0,6,3,0,0,1,0,3,0,0,1,1,2,1,1,0,1,0,1,0,0,19,23,0,0,1,0,0,"CLD.032"
0,0,1,0,0,0,1,0,2,8,4,0,0,1,0,0,1,13,1,1,0,0,1,3,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,2,6,7,1,0,1,0,0,"CLD.035"
0,0,2,0,3,0,2,1,2,8,6,1,1,0,0,1,0,22,0,0,0,0,1,2,3,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,13,16,0,1,1,1,0,"CLD.036"
0,0,1,0,0,1,0,0,0,14,2,0,0,0,0,0,0,24,0,1,0,0,0,3,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,18,13,0,2,1,0,0,"CLD.038"
1,0,0,0,2,0,0,0,0,29,3,2,2,0,0,0,3,39,0,0,0,1,0,5,0,0,0,1,0,2,1,0,2,0,0,0,0,1,0,0,0,1,2,36,26,0,2,0,1,0,"CLD.039"
1,0,2,1,1,0,1,0,0,34,3,0,2,0,0,1,0,32,1,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,10,18,0,0,3,0,0,"CLD.040"
0,0,4,0,3,0,0,0,1,1,1,0,0,1,0,0,2,6,0,1,1,0,0,5,2,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,7,6,2,0,0,0,0,"CLD.05"
0,0,4,0,2,0,4,0,6,33,4,0,1,0,0,2,2,39,0,0,2,0,0,3,0,0,0,0,0,1,2,1,0,0,4,0,0,1,0,0,1,0,0,37,36,0,0,1,1,0,"CLD.06"
1,0,1,0,2,0,2,0,3,8,1,1,1,0,0,3,1,13,0,0,2,1,0,5,1,0,0,1,0,0,0,0,0,1,2,0,0,0,3,0,1,0,1,11,11,2,2,2,1,0,"CLD.08"
1,0,3,0,0,0,1,1,0,2,0,0,2,0,1,2,0,1,1,0,2,1,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,1,1,0,"CLD.09"
0,0,0,0,2,0,0,1,3,7,2,1,1,1,0,1,0,6,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,11,13,0,0,0,1,0,"CLD.10"
0,0,1,0,3,0,0,2,1,2,0,1,3,1,0,1,0,11,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,8,4,0,0,2,2,0,"CLD.11"
0,0,1,0,2,0,1,0,0,2,1,1,2,1,0,3,0,3,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0,0,2,0,1,2,0,0,1,0,1,4,3,0,0,0,0,0,"CLD.12"
2,0,2,0,5,0,2,3,7,10,2,1,4,0,0,4,0,23,0,0,3,0,1,3,1,1,0,0,0,1,1,0,2,4,3,1,0,1,0,0,0,0,2,24,20,0,0,2,1,0,"CLD.13"
0,0,0,0,6,0,0,0,6,93,0,0,1,0,1,4,0,113,0,0,0,0,0,16,0,0,0,0,2,0,0,0,2,0,3,1,1,0,0,0,0,0,0,51,46,1,0,2,0,1,"HCC.011"
0,1,0,0,4,0,0,0,3,53,2,0,1,0,0,0,0,41,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,28,30,0,0,1,0,1,"HCC.014"
0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,3,0,38,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,54,0,0,0,0,1,"HCC.018"
0,2,1,0,9,0,0,0,7,10,0,0,2,0,2,1,0,41,0,0,0,0,0,20,1,0,0,0,1,1,0,0,6,5,0,3,4,1,0,2,0,0,0,4,9,0,0,0,0,1,"HCC.021"
0,0,0,0,5,0,0,0,10,47,0,0,0,0,0,3,0,106,1,0,0,0,0,15,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,2,0,0,0,33,48,0,0,0,0,1,"HCC.027"
0,4,3,0,4,0,0,1,19,35,0,1,0,0,2,4,0,28,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,2,2,0,0,0,0,0,1,36,17,0,0,0,0,1,"HCC.029"
0,0,0,0,6,0,0,0,1,9,0,0,0,0,0,2,0,15,1,0,0,0,0,2,1,0,0,0,3,0,0,0,3,0,0,1,1,1,0,2,0,0,1,8,3,0,0,0,0,1,"HCC.035"
1,2,0,0,8,0,1,0,7,18,2,0,1,0,0,5,1,41,1,0,0,0,0,11,0,0,0,0,0,0,0,0,4,13,0,3,1,0,1,0,0,0,0,23,37,0,1,0,0,1,"HCC.040"
0,0,1,1,4,0,0,0,7,5,2,0,0,0,0,4,1,11,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,0,1,17,39,1,0,0,0,1,"HCC.042"
0,0,0,0,2,0,0,0,9,90,0,0,0,0,0,1,0,88,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,1,"HCC.046"
0,1,0,0,1,0,0,0,4,16,1,0,0,0,1,2,0,30,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,6,11,0,0,3,0,1,"HCC.050"
0,0,0,0,3,0,1,0,4,2,1,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,1,"HCC.052"
1,0,0,0,0,0,0,0,1,20,2,0,0,0,0,1,0,19,0,0,1,0,0,4,0,1,0,0,0,0,0,0,5,1,0,1,0,0,0,2,0,0,0,10,14,0,0,1,0,1,"HCC.058"
0,0,0,0,1,0,2,0,12,14,0,0,1,0,0,1,1,45,0,0,0,0,0,11,0,0,0,1,2,1,0,0,3,2,0,3,2,0,0,2,0,0,1,25,37,0,0,0,0,1,"HCC.060"
0,0,0,0,2,0,0,0,1,16,0,0,0,0,0,2,0,21,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,1,"HCC.061"
0,0,0,0,3,0,0,0,11,31,4,0,0,0,0,0,0,47,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,3,0,2,0,0,1,0,0,0,1,17,49,0,1,1,0,1,"HCC.062"
0,1,0,0,0,0,0,0,0,8,0,0,1,0,0,4,0,31,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,1,0,0,0,36,28,0,0,0,0,1,"HCC.063"
0,2,0,1,7,0,0,0,12,31,1,0,0,0,2,3,0,59,0,0,2,0,0,5,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,34,66,0,0,0,0,1,"HCC.064"
1,1,0,0,8,0,2,0,6,38,3,0,1,0,1,5,0,82,1,0,1,0,0,13,0,0,0,0,3,0,1,0,1,13,0,7,0,0,0,3,0,0,1,40,43,0,0,1,1,1,"HCC.068"
0,0,1,0,8,0,0,0,4,9,1,0,0,0,0,3,0,15,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,1,0,0,0,16,28,0,1,0,0,1,"HCC.069"
0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,2,0,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,5,18,0,0,1,0,1,"HCC.074"
1,0,0,0,5,0,1,0,3,42,0,0,0,0,0,2,0,66,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,68,121,0,0,0,0,1,"HCC.075"
0,0,0,0,3,0,0,0,9,7,0,0,0,0,0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,10,20,0,0,0,1,1,"HCC.076"
0,0,0,0,3,0,0,0,10,27,0,0,0,0,0,3,0,44,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,1,42,50,0,0,1,1,1,"HCC.079"
0,0,0,0,4,0,0,0,1,27,0,0,0,0,0,1,0,48,0,1,0,0,0,6,0,0,0,0,1,0,0,0,2,6,0,1,0,0,0,2,0,0,1,19,17,0,0,1,0,1,"HCC.082"
0,0,0,0,2,0,0,0,4,19,0,0,0,0,1,0,0,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,30,0,0,1,0,1,"HCC.083"
0,1,0,0,5,0,0,0,7,36,0,0,0,0,1,3,0,48,0,1,0,0,0,10,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,2,0,0,1,24,33,0,0,1,0,1,"HCC.087"
0,1,0,0,4,0,0,0,8,24,0,0,1,0,2,2,0,45,0,0,0,0,0,13,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,3,0,0,0,51,49,0,1,1,0,1,"HCC.091"
1,1,0,0,4,0,0,0,6,22,0,0,0,0,0,1,1,49,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,73,60,0,1,1,0,1,"HCC.093"
0,0,0,0,3,0,0,0,6,9,0,0,0,0,1,0,0,21,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,12,10,0,0,1,0,1,"HCC.094"
0,0,0,0,2,0,0,0,0,25,0,0,0,0,2,3,0,41,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,1,0,1,0,20,19,0,0,0,0,1,"HCC.095"
0,0,0,0,2,0,0,0,6,30,0,0,0,0,0,2,0,47,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,16,40,0,0,0,0,1,"HCC.097"
0,0,1,0,3,0,1,1,2,52,1,0,0,0,1,2,0,35,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,2,0,0,0,32,34,0,0,0,0,1,"HCC.099"
1,1,1,0,2,0,1,1,3,43,1,0,0,0,1,6,0,62,0,0,0,0,0,6,0,0,0,0,2,0,1,0,2,1,0,3,0,0,0,1,0,0,0,39,39,0,0,1,0,1,"HCC.101"
0,0,0,0,3,0,2,0,2,47,0,0,0,0,0,2,0,67,0,0,0,0,0,6,0,0,0,0,2,1,0,0,1,3,0,2,0,0,0,0,0,0,0,48,91,0,0,1,0,1,"HCC.102"
0,0,0,0,0,0,0,0,5,18,2,1,0,0,1,2,0,21,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,65,0,0,0,0,1,"HCC.103"
0,0,0,0,1,0,0,0,9,25,0,0,0,0,1,3,0,74,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,44,58,0,0,0,0,1,"HCC.105"
